sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
female,49,0.003195341,0.00643255,0.092106237,0.027555262,0.002439875,0.001873367,0.001025636,0.000403135,0.000319967,0.000202475,0.003625342
female,50,0.003633804,0.006934947,0.098380658,0.029819333,0.002714681,0.002071868,0.001106,0.000403636,0.000401718,0.00026478,0.003742236
female,51,0.004101511,0.007499197,0.104783387,0.032135603,0.003032991,0.002280246,0.001197576,0.000402759,0.000495646,0.00033139,0.003868387
female,52,0.0046,0.0081329,0.1113,0.0345,0.0034,0.0025,0.0013,0.0004,0.0006,0.0004,0.0040031
female,53,0.005132345,0.008843935,0.117919384,0.036909241,0.003820524,0.002732454,0.001412412,0.000395335,0.000712895,0.000468366,0.00414565
female,54,0.005707765,0.009641279,0.124643654,0.039363199,0.004297863,0.002978232,0.001531963,0.000390645,0.000831904,0.000534487,0.004295192
female,55,0.006337011,0.010534186,0.131478232,0.041862537,0.00483494,0.003237783,0.001655308,0.000388288,0.000954465,0.000596426,0.004450848
female,56,0.007030838,0.011531908,0.13842854,0.044407917,0.005434678,0.003511556,0.001779102,0.00039062,0.001078018,0.000652243,0.004611743
female,57,0.0078,0.0126437,0.1455,0.047,0.0061,0.0038,0.0019,0.0004,0.0012,0.0007,0.004777
female,58,0.008654032,0.013879998,0.152695119,0.049638776,0.006832927,0.004103741,0.002015104,0.000417704,0.001318677,0.000738158,0.004945853
female,59,0.0095976,0.015255977,0.160004745,0.052321541,0.007631874,0.004424106,0.002123312,0.000440685,0.001435619,0.000766777,0.005117981
female,60,0.010634152,0.016787998,0.167416812,0.055044918,0.008494359,0.004762602,0.002223967,0.000464814,0.001553222,0.000786317,0.005293172
female,61,0.011767136,0.018492419,0.174919253,0.05780553,0.009417896,0.005120731,0.002316415,0.000485961,0.001673884,0.000797238,0.005471216
female,62,0.013,0.0203856,0.1825,0.0606,0.0104,0.0055,0.0024,0.0005,0.0018,0.0008,0.0056519
female,63,0.014334726,0.022483691,0.190148139,0.063423655,0.01143817,0.005900584,0.002475171,0.000504248,0.001933198,0.000795803,0.005835015
female,64,0.015767434,0.024802004,0.197857364,0.066266638,0.012529839,0.006317343,0.00254679,0.000501815,0.002072022,0.000788805,0.006020351
female,65,0.01729278,0.027355641,0.205622519,0.069117792,0.013672423,0.006743811,0.002620824,0.000497258,0.002214247,0.000783907,0.0062077
female,66,0.018905417,0.030159706,0.213438449,0.071965965,0.014863338,0.007173519,0.002703238,0.000495134,0.002357648,0.000786005,0.006396852
female,67,0.0206,0.0332293,0.2213,0.0748,0.0161,0.0076,0.0028,0.0005,0.0025,0.0008,0.0065876
female,68,0.022375064,0.036576696,0.229193123,0.077609802,0.017379992,0.008017925,0.002916212,0.000514903,0.002639732,0.000829031,0.006779664
female,69,0.024244663,0.040202844,0.237068199,0.080389508,0.018701568,0.008426521,0.003053528,0.000536854,0.002777894,0.000869201,0.00697248
female,70,0.026226729,0.044105864,0.244866712,0.083134313,0.020063147,0.008826155,0.003212738,0.000561353,0.00291619,0.000914856,0.007165414
